nama,halaman,skor_pola,komponen_berbukti,dist_model,field_sales,scale,industry_fit,kutipan_dist,kutipan_field
PT Semen Indonesia Distributor,9,95,4,35,30,20,10,...usi beton siap pakai untuk berbagai kebutuhan proyek konstruksi. Peta Distribusi Nasional Didukung jaringan distribusi yang kuat dan terintegrasi untuk memastikan produk kami selalu dekat dengan anda Jawa Timur...,...ad Company Profile 95 Cabang Nasional 29.915 Pelanggan Aktif 283 Salesman Aktif 494 Armada Truk Produk Unggulan Kami Semua Produk Kami Pilihan produk berkualitas untuk memenuhi berbagai kebutuhan konstru...
Mondelez Indonesia,11,90,4,35,30,10,15,...Investors Media SUPPLIERS & VENDORS Supplier Information Center Food Services World Travel Retail STARTUPS & INNOVATION SnackFutures Open Innovation Portal NUTRITION COMMUNITY Nutrition Science Center Snack...,"...S , Early Career , Taste The Future Meet Chloe Sargent, National Account Executive, Coles Careers and People , Australia , New Zealand , SALES , Early Career , Taste The Future , Culture Meet Mikhala Lia, Nationa..."
PT Semen Indonesia Logistik,10,90,4,35,20,20,15,"...uhan Pelayanan Jasa Penundaan dan Pemanduan Kapal Pelayanan Jasa Keagenan Kapal Jasa Pengiriman Laut, Minyak, Gas, dan Transportasi Bahan Berbahaya & Limbah Galeri Portofolio Group Perusahaan PT Semen In...","...opy. Untuk hardcopy berkas lamaran dapat dikirimkan via pos atau kurir ke alamat : Kepala Biro Sumber Daya Manusia PT Semen Indonesia Logistik, Jl. Veteran 129 Gresik 61122, sedangkan untuk softcopy d..."
DSV Contract Logistics Indonesia - Headoffice,9,75,3,35,30,0,10,...nd reliable supply chain solutions to link production sites with distribution channels across the world. Healthcare Dedicated teams and a wide range of solutions to ensure compliance with quality standards and regul...,"...s a freight forwarder in the Netherlands Read more Karen Pinedo, Sales Representative, Air & Sea - Mexico As a sales representative, Karen has learnt how to handle stressful days by being well organised and multi-ta..."
Agel Langgeng,1,70,3,35,0,20,15,...Indonesia. LEARN MORE PT. FASTRATA BUANA PT. Fastrata Buana is a consumer good distributor of Kapal Api Group. It is also the marketer of quality products of top brands such as Kapal Api and Good Day. LEARN MORE PT. AGEL...,
Cikarang Dry Port Office,6,70,3,35,0,20,15,"...dor, caused by long queues of container trucks waiting to access depot facilities, has highlighted the growing need for more efficient and integrated freight transportation by Amelia Ardhan // 1 Augus...",
Kamadjaja Logistics,8,70,3,35,0,20,15,"...ro dead stock. DISTRIBUTION MANAGEMENT Our operations system and distribution network across Indonesia is able to manage products delivery to any channels, ranging from Traditional outlet, Industrial, Institutional,...",
Prambanan Kencana,3,70,3,35,0,20,15,"...re than 70 years, Prambanan Kencana has supplied products to the Foodservice, Retail, Food Industry, and E-commerce channels in Indonesia. Hence, you will find an inventory of more than 1,200 items that inc...",
PT Tunggal Idaman Abdi,6,65,3,0,30,20,15,,...sence Our Partnership With The Midwives CAREER CONTACT US search MEDICAL REPRESENTATIVE Available position: APPLY TO US WELCOME TO YOUR JOURNEY AT TUNGGAL IDAMAN ABDI Value-Added: Have certification related to utiliti...
Prysmian Cables Indonesia,8,65,3,35,20,0,10,"...With three factories in Malaysia, Indonesia, and Thailand, and a distribution center in Singapore, we deliver tailored, high-quality cable solutions for the region’s unique infrastructure needs. Our operations in S...",...Link Distribution Warehouse Malaysia Melaka Factory Kuala Lumpur Sales Office Indonesia Cikampek Factory Jakarta Sales Office Thailand Rayong Factory Bangkok Sales Office Vietnam Ho Chi Minh Sales Office arr...
Dunex Logistics,4,60,3,35,0,10,15,...por & Impor Clearance Handling (PPJK) LTL (Less Than truck Load) Depo Kontainer Galeri Foto Video Kontak Kami Aplikasi EN IN Toggle navigation Beranda Berita Tentang Kami Profil Visi Misi Layanan Kam...,
Hijrahfood Meatshop - Tanjung Duren,6,60,3,35,0,10,15,"...rbagai jenis perusahaan di daerah Jakarta dan sekitarnya seperti hotel, restoran, catering, dan lain-lain. Selengkapnya Food Safety Management Halal MUI Nomor Kontrol Veteriner We Are Ready To Deliver Our Product We Are...",
Hino Motors Manufacturing Indonesia,5,60,3,35,0,10,15,...alankan bisnisnya. CEK LOKASI DEALER 157 JARINGAN OUTLET 6 PARTS DEPO 621 SERVICE BAY 157 MOBILE WORKSHOP SERVICES LAYANAN PURNA JUAL Hino Indonesia selalu menerapkan filosofi Total Support bagi pela...,
PT Canning Indonesian Products,7,60,3,35,0,10,15,...O EAT FROZEN FOOD ACTIVITY News Event Video Article DISTRIBUTION General Trade Modern Trade Food Service Online Store RECIPE HOME OUR COMPANY About Pronas Vision & Mission Message From Management Manufacture...,
Tritan Point,3,60,3,35,0,15,10,"...itan Point is located in a very strategic area so it matches the distribution business. His facade was built higher than the highway, so it made this area flood-free. So this is the superior Tritan Point that doesn’t...",
Limajari Cargo,4,55,4,15,20,10,10,"...accounted for before it moves, is something we do every day. Our fleet of 25+ vehicles covers all of Bali. Smaller pickups for lighter loads, Isuzu trucks for larger consignments, and a forklift for a...",...ned to your shipment from start to delivery. Natalia Air Cargo & Courier Phone Phone Whatsapp Fabiola Sea freight FCL Air Cargo & Courier Phone Phone Whatsapp Astrid Sea freight FCL Phone Phone Whatsapp...
Boston Consulting Group,10,50,3,15,0,20,15,"...ciency, cost, and reliability goals with the digitization of its fleet maintenance operations. Learn More Client Impact How Penske Is Driving a New Data-Centric Mobility Solution When the mobility exp...",
Sociodreams,6,50,3,0,20,20,10,,"...engkap dengan sistem pembayaran, manajemen produk, dan integrasi kurir. Cocok untuk UMKM hingga bisnis menengah yang ingin berjualan secara online. Lihat Layanan Landing Page Jasa pembuatan website la..."
