nama,website,sebab,detail,didiagnosa_pada
Digital Marketing Tangerang Selatan (Groundwork People),https://groundworkpeople.com,http_error,http 403,2026-09-01 09:30:53
Olah Data Semarang,https://olah-data-semarang.business.site,http_error,http 404,2026-09-01 09:33:19
PT Architectz Persada Asri,https://www.architectzandassociates.com,http_error,http 404,2026-09-01 09:34:37
PT Borneo Megah Sejahtera,https://www.bmslh.com,http_error,http 403,2026-09-01 09:34:42
PT Reycom Document Solusi,https://rds.co.id,http_error,http 403,2026-09-01 09:35:34
PT. PiEE Internasional,https://piee.co.id,http_error,"http 404 (turun ke http, sertifikat https bermasalah)",2026-09-01 09:38:19
EasyGO GPS,https://www.easygo-gps.co.id,js_render,"http 200, 4362 char -> hanya 6 char teks",2026-09-01 09:31:03
Nazaridev,https://nazaridev.vercel.app,js_render,"http 200, 656 char -> hanya 21 char teks",2026-09-01 09:33:10
PT MAKA (Makna Karya Angan Andanu),https://maka.id,js_render,"http 200, 3646 char -> hanya 17 char teks",2026-09-01 09:35:29
PT Solusi Untuk Semua,https://gadogado.id,js_render,"http 200, 132 char -> hanya 0 char teks",2026-09-01 09:35:37
PT. Indo Rizki Pratama,https://www.3dmediaadv.com,js_render,"http 200, 114 char -> hanya 0 char teks",2026-09-01 09:37:38
Pluto Publishing,https://bestgardenoutdoor.com,js_render,"http 200, 114 char -> hanya 0 char teks",2026-09-01 09:40:35
Stasiun Transmisi TV Indosiar Semarang,https://www.indosiar.com,js_render,"http 200, 7602 char -> hanya 63 char teks",2026-09-01 09:40:51
Studio Paramuda Radio Bandung 93.7 FM (RAMA Group),http://www.paramudaradio.com,js_render,"http 200, 168548 char -> hanya 14 char teks",2026-09-01 09:40:55
Studio Radio Rama 104.7 FM Bandung,https://www.ramafm.com,js_render,"http 200, 225698 char -> hanya 7 char teks",2026-09-01 09:41:00
Takaful Umum,https://www.takafulumum.co.id,js_render,"http 200, 14599 char -> hanya 14 char teks",2026-09-01 09:41:04
ThinkrCreative,http://thinkrcreative.com,js_render,"http 200, 114 char -> hanya 0 char teks",2026-09-01 09:41:10
XLSMART Telecom Sejahtera,https://www.smartfren.com,js_render,"http 200, 18592 char -> hanya 43 char teks",2026-09-01 09:41:22
