osm_id,name,category,city,phone,alasan
195374404,-,warehouse,Makassar,,duplikat entitas (nama/telepon sama)
257580239,-,industrial,Makassar,,duplikat entitas (nama/telepon sama)
258038487,-,warehouse,Makassar,,duplikat entitas (nama/telepon sama)
3786009242,AIA,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
6264009601,AIA,insurance,Tangerang,,duplikat entitas (nama/telepon sama)
3251556085,AIA Insurance,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
4275635930,AIA Insurance,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
1430916357,AKR,industrial,Semarang,,duplikat entitas (nama/telepon sama)
6357841390,Acer Service Center,company,,,nama cocok pola noise (gedung/pemerintah/service center)
7890803873,Adira Finance,financial,Makassar,,duplikat entitas (nama/telepon sama)
482882608,Aeon Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
12124292316,Agora Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
337961087,Allianz,insurance,Semarang,,duplikat entitas (nama/telepon sama)
4628958024,Allianz,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
506711807,Ancol Beach City Mall,mall,,+62 821 3600 9600,"kategori mall (properti, bukan perusahaan)"
389523270,Arion Mall,mall,,+62 21 4711652; +62 21 4711658,"kategori mall (properti, bukan perusahaan)"
4148676903,Arion Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
99362081,Artha Gading Mall,mall,,+62 21 45858180; +62 21 45858182,"kategori mall (properti, bukan perusahaan)"
9755222519,Ashta District 8,mall,,,"kategori mall (properti, bukan perusahaan)"
13595525464,Astra,insurance,Bandung,,duplikat entitas (nama/telepon sama)
357090872,Astra Daihatsu Motor,industrial,Karawang,,duplikat entitas (nama/telepon sama)
622781309,Astra Daihatsu Motor,industrial,Karawang,,duplikat entitas (nama/telepon sama)
6249962507,Astra Graphia,company,,,duplikat entitas (nama/telepon sama)
3787169969,Asuransi Central Asia,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
363343441,Asuransi Jasa Raharja,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
530035430,Asuransi Jasindo,insurance,Bandung,,duplikat entitas (nama/telepon sama)
4628958023,Asuransi Mega,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
3189433333,Asuransi Ramayana,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
318779158,Asuransi Wahana Tata,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
449178052,Asuransi Wahana Tata,insurance,Surabaya,,duplikat entitas (nama/telepon sama)
3832511897,Asuransi Zurich,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
4457428491,Asuransi Zurich,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
159958655,Atria Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
119784539,Atrium Mall,mall,,+62 21 385 3985;+62 21 385 6650,"kategori mall (properti, bukan perusahaan)"
6901370685,Avrist,company,,,duplikat entitas (nama/telepon sama)
669873130,BJTI Port,industrial,Surabaya,,duplikat entitas (nama/telepon sama)
6948625092,BNI Life,insurance,Jakarta,,duplikat entitas (nama/telepon sama)
4373238608,BOLT! Zone Lippo Mall Puri,mall,,,"kategori mall (properti, bukan perusahaan)"
6255540888,BRI Card Center,company,,,pola kantor cabang/gerai (bukan pengambil keputusan)
529392697,Baywalk Mall,mall,,+62 21 29627999; +62 21 29627988,"kategori mall (properti, bukan perusahaan)"
521439410,Bella Terra,mall,,,"kategori mall (properti, bukan perusahaan)"
4148556005,Bellagio Boutique Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
121261399,Beltway Office Park Building A,company,,,nama cocok pola noise (gedung/pemerintah/service center)
511618341,Beltway Office Park Building B,company,,,nama cocok pola noise (gedung/pemerintah/service center)
121261402,Beltway Office Park Building C,company,,,nama cocok pola noise (gedung/pemerintah/service center)
340410650,Bengkel Bubut Karya Usaha,works,Semarang,,duplikat entitas (nama/telepon sama)
1333406772,Bengkel Bubut Karya Usaha,works,Semarang,,duplikat entitas (nama/telepon sama)
1430916337,Berlian Eka Sakti Tangguh,industrial,Semarang,,duplikat entitas (nama/telepon sama)
4148507697,Bintaro Plaza,mall,,,"kategori mall (properti, bukan perusahaan)"
4240845890,Bintaro Trade Center,mall,,,"kategori mall (properti, bukan perusahaan)"
355474629,Bintaro Xchange Mall 1,mall,,,"kategori mall (properti, bukan perusahaan)"
797825696,Bintaro Xchange Mall 2,mall,,,"kategori mall (properti, bukan perusahaan)"
7913603390,Biznet,telecommunication,Surabaya,,duplikat entitas (nama/telepon sama)
539176312,Blok M Hub,mall,,,"kategori mall (properti, bukan perusahaan)"
516775426,Blok M Square,mall,,,"kategori mall (properti, bukan perusahaan)"
1444836011,Bogasari Flour Mills,industrial,Jakarta,,duplikat entitas (nama/telepon sama)
6326910786,Brother Service Center,company,,,nama cocok pola noise (gedung/pemerintah/service center)
118879679,Buaran Plaza,mall,,+62 21 86603438;+62 21 8660336,"kategori mall (properti, bukan perusahaan)"
372062955,Bumiputera 1912,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
446609137,Bumiputera 1912,insurance,Denpasar,,duplikat entitas (nama/telepon sama)
1113270959,By The Sea Shopping Mall at Golf Island PIK,mall,,,"kategori mall (properti, bukan perusahaan)"
159813269,CBD Ciledug,mall,,,"kategori mall (properti, bukan perusahaan)"
6327979000,Canon Care Center,company,,,nama cocok pola noise (gedung/pemerintah/service center)
6252754289,Casio Sales & Service Centre,company,,,nama cocok pola noise (gedung/pemerintah/service center)
277664694,Central Park Mall,mall,,+62 21 56988888; +62 21 56985100,"kategori mall (properti, bukan perusahaan)"
463407970,Central Park Mall 2,mall,,,"kategori mall (properti, bukan perusahaan)"
6326910989,Changhong Service Center,company,,,nama cocok pola noise (gedung/pemerintah/service center)
6953875885,China Taiping,company,,,duplikat entitas (nama/telepon sama)
508303805,Cibubur Junction,mall,,+62 21 877 55 678;+62 21 873 3339,"kategori mall (properti, bukan perusahaan)"
398229401,Cibubur Square,mall,,,"kategori mall (properti, bukan perusahaan)"
482821247,Cikini Gold Center,mall,,,"kategori mall (properti, bukan perusahaan)"
361290124,Cinere Bellevue Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
155955655,Cipinang Indah Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
334801956,Ciplaz Cengkareng,mall,,,"kategori mall (properti, bukan perusahaan)"
121261411,Citos / Cilandak Town Square,mall,,+62 21 75920222; +62 21 75920210,"kategori mall (properti, bukan perusahaan)"
512512203,Citra Mall Klender,mall,,,"kategori mall (properti, bukan perusahaan)"
122152128,City Plaza,mall,,,"kategori mall (properti, bukan perusahaan)"
120827484,CityWalk Sudirman,mall,,,"kategori mall (properti, bukan perusahaan)"
119779743,Cityplaza Jatinegara,mall,,,"kategori mall (properti, bukan perusahaan)"
9728578603,Citywalk Gajah Mada,mall,,,"kategori mall (properti, bukan perusahaan)"
1200663255,DAMRI Cabang Bandung,company,Bandung,,pola kantor cabang/gerai (bukan pengambil keputusan)
13047854601,DGTraffic (Branch Office),company,,,pola kantor cabang/gerai (bukan pengambil keputusan)
6920828187,Daikin,company,,,duplikat entitas (nama/telepon sama)
6326913885,Datascript Service Center,company,,,nama cocok pola noise (gedung/pemerintah/service center)
1061093652,Delta Silicon 2,industrial,Cikarang,,duplikat entitas (nama/telepon sama)
1431092011,Depot Air Ni Zannah,industrial,Bekasi,,nama cocok pola noise (gedung/pemerintah/service center)
705296589,Depot BBM Gresik,industrial,Gresik,,nama cocok pola noise (gedung/pemerintah/service center)
1360133929,Depot Bus Litha & CO,industrial,Makassar,,nama cocok pola noise (gedung/pemerintah/service center)
30040717,Depot LPG Tanjung Priok,industrial,Jakarta,,nama cocok pola noise (gedung/pemerintah/service center)
155962808,Depot Pertamina Halim,works,Jakarta,,nama cocok pola noise (gedung/pemerintah/service center)
155962812,Depot Pertamina Halim,works,Jakarta,,duplikat entitas (nama/telepon sama)
511874883,Dermaga Ex Presiden,industrial,Jakarta,,nama cocok pola noise (gedung/pemerintah/service center)
850698164,Dermaga Linggom,industrial,Jakarta,,nama cocok pola noise (gedung/pemerintah/service center)
1430916358,Dermaga Samudera 2,industrial,Semarang,,nama cocok pola noise (gedung/pemerintah/service center)
705296580,Dharma Satya Nusantara,industrial,Surabaya,,duplikat entitas (nama/telepon sama)
476642374,Djarum,works,Kudus,,duplikat entitas (nama/telepon sama)
723179627,Djarum,industrial,Kudus,,duplikat entitas (nama/telepon sama)
723179629,Djarum,industrial,Kudus,,duplikat entitas (nama/telepon sama)
723179631,Djarum,industrial,Kudus,,duplikat entitas (nama/telepon sama)
723179632,Djarum,industrial,Kudus,,duplikat entitas (nama/telepon sama)
14093890917,Djarum,company,Bandung,,duplikat entitas (nama/telepon sama)
5271050421,Duta Indah iconic,company,Tangerang,,duplikat entitas (nama/telepon sama)
3181086706,ETrading Securities,financial,Jakarta,,duplikat entitas (nama/telepon sama)
391476937,Emporium Pluit Mall,mall,,+62 21 66672999,"kategori mall (properti, bukan perusahaan)"
4146957523,Emporium Pluit Mall Back Entrance,mall,,,"kategori mall (properti, bukan perusahaan)"
4146959210,Emporium Pluit Mall Front Entrance,mall,,,"kategori mall (properti, bukan perusahaan)"
4146953112,Emporium Pluit Mall Side Entrance,mall,,,"kategori mall (properti, bukan perusahaan)"
6900294986,Equity Life Indonesia,insurance,Jakarta,,duplikat entitas (nama/telepon sama)
483644507,FIF Group,insurance,Jakarta,,duplikat entitas (nama/telepon sama)
4196577554,FIFGroup,financial,Denpasar,,duplikat entitas (nama/telepon sama)
119772918,FX Mall,mall,,+62 21 30030888; +62 21 30030800,"kategori mall (properti, bukan perusahaan)"
498513737,Food Centrum,mall,,,"kategori mall (properti, bukan perusahaan)"
387636345,Gajah Mada Plaza,mall,,+62 21 6385 8888;+62 21 633 6866,"kategori mall (properti, bukan perusahaan)"
4146450482,Gajah Mada Plaza (Main Entrance),mall,,,"kategori mall (properti, bukan perusahaan)"
194736570,Galeri Indosat,telecommunication,Surabaya,,pola kantor cabang/gerai (bukan pengambil keputusan)
438818874,Galeri Indosat,telecommunication,Medan,,pola kantor cabang/gerai (bukan pengambil keputusan)
4258042689,Galeri Indosat Kayon,telecommunication,Surabaya,,pola kantor cabang/gerai (bukan pengambil keputusan)
119540859,Gandaria City,mall,,+62 21 7399088; +62 21 7396077,"kategori mall (properti, bukan perusahaan)"
6222913190,Garuda Indonesia,company,,,duplikat entitas (nama/telepon sama)
121551489,Gedung Maspion Plaza,company,,,nama cocok pola noise (gedung/pemerintah/service center)
510896704,Gedung Sastra Graha,company,,,nama cocok pola noise (gedung/pemerintah/service center)
121986316,Glodok Plaza,mall,,+62 21 6280888,"kategori mall (properti, bukan perusahaan)"
4111201190,GraPARI,telecommunication,Jakarta,,pola kantor cabang/gerai (bukan pengambil keputusan)
