nama,website,sumber,catatan
Unilever Indonesia,https://www.unilever.co.id/,gapmmi,
Indofood Sukses Makmur,https://www.indofood.com/,gapmmi,
Mayora Indah,https://mayora.com/,gapmmi,
Kalbe,https://www.kalbe.co.id/,gapmmi,
Garudafood,https://garudafood.com/,gapmmi,
Frisian Flag Indonesia,https://www.frisianflag.com/,gapmmi,
Nutrifood Indonesia,https://www.nutrifood.co.id/,gapmmi,
Sinar Sosro,http://sinarsosro.id/,gapmmi,
Ajinomoto Indonesia,https://www.ajinomoto.co.id/,gapmmi,
Nestle Indonesia,https://www.nestle.co.id/id,gapmmi,
Kino Indonesia,https://www.kino.co.id/id/,gapmmi,
Forisa Nusapersada,https://www.forisa.co.id/home,gapmmi,
Coca-Cola Indonesia,https://www.coca-cola.co.id/id/home,gapmmi,
Indolakto / Indomilk,http://www.indomilk.com/,gapmmi,
So Good Food,https://sogood.id/,gapmmi,
Cargill Indonesia,https://www.cargill.co.id/,gapmmi,
Sinar Mas,https://www.sinarmas.com/,gapmmi,holding - cek entitas pangan spesifik
Glico Indonesia,https://www.glico.com/id/,gapmmi,
AIM Food,https://www.aimfood.co.id/,gapmmi,
Fiva Food,https://www.fivafood.com/,gapmmi,
Javaindo,https://www.javaindo.co.id/,gapmmi,
Inaco Food,https://www.inacofood.com/,gapmmi,nama legal perlu diverifikasi
Golden Plantation,https://www.goldenplantation.com/,gapmmi,
Kapal Api Global / Santos Jaya Abadi,https://kapalapiglobal.com/santos/?lang=id,gapmmi,
BT Cocoa,https://www.olamgroup.com/products-services/olam-food-ingredients/cocoa/cocoa-ingredient-brands/bt-cocoa.html,gapmmi,situs global - kontak ID kemungkinan tidak ada
Danone Indonesia,https://www.danone.com/,gapmmi,situs global - kontak ID kemungkinan tidak ada
Mondelez Indonesia,https://www.mondelezinternational.com/,gapmmi,situs global - kontak ID kemungkinan tidak ada
