nama,website,sumber,kategori,kota,osm_id
AIA Insurance,http://www.aia-financial.co.id/,osm,insurance,Denpasar,3189433327
Abang Express - Pengiriman Internasional,https://abangexpress.co.id/,osm,company,,13658337101
Accurate,https://www.accurate.id/,osm,company,Tangerang,8186171474
Acibadem,https://acibademinternational.com,osm,company,,11578924613
AirNav Indonesia,https://airnavindonesia.co.id/,osm,company,Tangerang,512842606
Alcott Semarang,https://alcott-smg.com,osm,it,Semarang,11648765950
Alguntal,https://alguntal.xyz,osm,company,,12740671401
Asuransi Bintang,https://www.asuransibintang.com/,osm,insurance,Denpasar,3786009221
Asuransi Central Asia,https://www.aca.co.id,osm,insurance,Surabaya,12818418241
Asuransi Raksa,https://www.raksaonline.com/,osm,insurance,Tangerang,478700153
AturKuliner,https://aturkuliner.id,osm,it,Bandung,9827840505
Avrist,https://avrist.com/,osm,insurance,Denpasar,3780733272
Awann Group,https://awanngroup.com/,osm,company,Semarang,568166114
Badan Riset dan Inovasi Nasional (BRIN),https://brin.go.id/,osm,research,Bandung,12097450304
Bali Wedding Easy,https://baliweddingeasy.com/,osm,company,Denpasar,8771686918
Bali Wedding Story - Why Imaging,https://baliweddingstory.com/,osm,company,Denpasar,8771614896
Balon Tepuk Suporter,https://www.balon-tepuk.com/,osm,company,,11497028373
Balon Tepuk Supporter,https://www.balontepuksuporter.com/,osm,company,,13455352057
Bamboomedia Software,https://www.bamboomedia.net/,osm,it,Denpasar,3780733271
Biznet,https://www.biznetnetworks.com/,osm,telecommunication,Denpasar,3758630565
Biznet Networks,https://biz.net.id,osm,telecommunication,Jakarta,7913537001
Boston Consulting Group,https://www.bcg.com/offices/jakarta/default.aspx,osm,consulting,,6175036032
CV. Teknodaeng Multi Sarana (Teknodaeng),http://teknodaeng.co.id,osm,company,Makassar,3516040673
Chroma Wedding,https://chromawedding.com/,osm,company,Denpasar,8771686919
DSV Contract Logistics Indonesia - Headoffice,https://dsv.com,osm,logistics,Jakarta,12846767550
Dattabot,https://dattabot.io/,osm,company,,5951063755
Digital Marketing Tangerang Selatan (Groundwork People),https://groundworkpeople.com,osm,advertising_agency,,13192381336
Dimensi Logistic,https://dimensilogistic.co.id,osm,company,,7334417475
D~Net Internet Service Provider,https://dnetprovider.id/,osm,it,Surabaya,10679202176
EST Jakarta,https://estjakarta.com/,osm,company,,12573530628
EasyGO GPS,https://www.easygo-gps.co.id/,osm,company,,527476642
Elkadaya,https://www.elkadaya.com/id,osm,company,Tangerang,478700174
Exito Bali,https://www.exitobali.com/,osm,it,Denpasar,9971637801
F/F Entertainment,https://www.facebook.com/festivefileds/,osm,consulting,,11299464547
First Media,https://www.firstmedia.com/,osm,telecommunication,Surabaya,426896940
GoJek HQ,https://www.go-jek.com/blog/bali/,osm,company,Denpasar,8826330319
Grafika Pariwara | PT. GRAFIKA PARIWARA KUSUMAH,https://grafikapariwara.com,osm,advertising_agency,Bandung,12079590681
Grahaesa,http://grahaesa.com,osm,company,,5267381438
Gudang Billboard,https://billboard.mikkaintermedia.co.id/,osm,advertising_agency,,514123221
HYDAC Indonesia,https://www.hydac.com/id-id/,osm,company,Tangerang,1444858632
Head Office PT. Solomon Indo Global,https://solomonindoglobal.id/,osm,company,Surabaya,11409159718
Hexa Conservation Indonesia,https://hexaconservation.com,osm,company,,11586233926
